search_day,rank,singer,title
20260402,1,Hearts2Hearts (하츠투하츠),RUDE!
20260402,2,IVE (아이브),BANG BANG
20260402,3,KiiiKiii (키키),404 (New Era)
20260402,4,방탄소년단,SWIM
20260402,5,한로로,사랑하게 될 거야
20260402,6,한로로,0+0
20260402,7,WOODZ,Drowning
20260402,8,IVE (아이브),BLACKHOLE
20260402,9,ITZY (있지),THAT’S A NO NO
20260402,10,화사 (HWASA),Good Goodbye
20260402,11,장한음,WANNA
20260402,12,방탄소년단,Body to Body
20260402,13,이찬혁,멸종위기사랑
20260402,14,도경수(D.O.),Popcorn
20260402,15,YENA (최예나),캐치 캐치
20260402,16,NMIXX,Blue Valentine
20260402,17,BLACKPINK,GO
20260402,18,로제(ROSÉ),toxic till the end
20260402,19,한로로,게임 오버 ?
20260402,20,BLACKPINK,뛰어(JUMP)
20260402,21,TWS (투어스),OVERDRIVE
20260402,22,아일릿(ILLIT),NOT CUTE ANYMORE
20260402,23,Hearts2Hearts (하츠투하츠),FOCUS
20260402,24,카더가든,그대 작은 나의 세상이 되어
20260402,25,제니 (JENNIE),like JENNIE
20260402,26,10CM,너에게 닿기를
20260402,27,HUNTR/X,Golden
20260402,28,다비치,타임캡슐
20260402,29,한로로,입춘
20260402,30,원필 (DAY6),사랑병동
20260402,31,aespa,Whiplash
20260402,32,LE SSERAFIM (르세라핌),SPAGHETTI (feat. j-hope of BTS)
20260402,33,AKMU(악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
20260402,34,DAY6 (데이식스),한 페이지가 될 수 있게
20260402,35,임현정,사랑은 봄비처럼... 이별은 겨울비처럼
20260402,36,ALLDAY PROJECT,FAMOUS
20260402,37,로이킴,내게 사랑이 뭐냐고 물어본다면
20260402,38,DAY6 (데이식스),HAPPY
20260402,39,조째즈,모르시나요(PROD.로코베리)
20260402,40,IVE (아이브),REBEL HEART
20260402,41,ALLDAY PROJECT,ONE MORE TIME
20260402,42,TWS (투어스),첫 만남은 계획대로 되지 않아
20260402,43,이무진,청춘만화
20260402,44,김하온(HAON),"TICK TOCK (Feat. ZICO) (Prod. by ZICO, Crush)"
20260402,45,IVE (아이브),XOXZ
20260402,46,이무진,에피소드
20260402,47,황가람,나는 반딧불
20260402,48,Hearts2Hearts (하츠투하츠),STYLE
20260402,49,DAY6 (데이식스),Welcome to the Show
20260402,50,IVE (아이브),I AM
20260402,51,폴킴(Paul Kim),"모든 날, 모든 순간 (Every day, Every Moment)"
20260402,52,로이킴,달리 표현할 수 없어요
20260402,53,Saja Boys,Soda Pop
20260402,54,이창섭,천상연
20260402,55,QWER,고민중독
20260402,56,NewJeans,Hype Boy
20260402,57,TWS (투어스),다시 만난 오늘
20260402,58,로제(ROSÉ),APT.
20260402,59,WOODZ,CINEMA
20260402,60,aespa,Supernova
20260402,61,아일릿(ILLIT),Magnetic
20260402,62,NewJeans,Ditto
20260402,63,멜로망스(MeloMance),사랑인가 봐
20260402,64,Lady Gaga(레이디 가가),Die With A Smile
20260402,65,BOYNEXTDOOR,오늘만 I LOVE YOU
20260402,66,잔나비,주저하는 연인들을 위해
20260402,67,너드커넥션(Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
20260402,68,이클립스 (ECLIPSE),소나기
20260402,69,DAY6 (데이식스),예뻤어
20260402,70,KiiiKiii (키키),I DO ME
20260402,71,LE SSERAFIM (르세라핌),HOT
20260402,72,박다혜,시작의 아이 ❍
20260402,73,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
20260402,74,DAY6 (데이식스),Congratulations
20260402,75,NOWIMYOUNG (나우아임영),KISS KISS KISS (Feat. 선우 (THE BOYZ)) (Prod. by Hukky Shibaseki)
20260402,76,제니 (JENNIE),Mantra
20260402,77,한로로,1111
20260402,78,i-dle (아이들),Mono (Feat. skaiwater)
20260402,79,아이유(IU),Love wins all
20260402,80,IVE (아이브),ATTITUDE
20260402,81,i-dle (아이들),나는 아픈 건 딱 질색이니까
20260402,82,QWER,내 이름 맑음
20260402,83,DAY6 (데이식스),Love me or Leave me
20260402,84,오반(OVAN),Flower
20260402,85,김민석 (멜로망스),사랑의 언어 (Love Language)
20260402,86,aespa,Rich Man
20260402,87,아일릿(ILLIT),빌려온 고양이 (Do the Dance)
20260402,88,BLACKPINK,Champion
20260402,89,QWER,눈물참기
20260402,90,방탄소년단,2.0
20260402,91,로제(ROSÉ),number one girl
20260402,92,방탄소년단,Hooligan
20260402,93,G-DRAGON,TOO BAD (feat. Anderson .Paak)
20260402,94,다영 (DAYOUNG),body
20260402,95,Disney,"Zoo (From ""Zootopia 2"")"
20260402,96,엔플라잉(N.Flying),Flashback
20260402,97,마크툽(MAKTUB),시작의 아이
20260402,98,프로미스나인,하얀 그리움
20260402,99,원필 (DAY6),Toxic Love
20260402,100,방탄소년단,FYA
