"월별(1)",2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"월별(1)",산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용,산업용
"월별(1)",농림수산업,농림수산업,농림수산업,농림수산업,농림수산업,농림수산업,농림수산업,농림수산업,농림수산업,농림수산업,농림수산업,농림수산업
"월별(1)",사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh),사용량 (MWh)
"월별(1)",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"합계",64229,-2064,-3.1,66005,1776,2.8,490617,424612,643.3,127774,,
"1월",5798,-195,-3.3,5459,-339,-5.8,39016,33557,614.7,11008,,
"2월",5416,-152,-2.7,5351,-65,-1.2,37975,32624,609.7,10933,,
"3월",4808,-50,-1.0,4563,-245,-5.1,40812,36249,794.4,9085,,
"4월",5177,-27,-0.5,4980,-197,-3.8,39958,34978,702.4,8919,,
"5월",4898,-83,-1.7,4857,-41,-0.8,40622,35765,736.4,9002,,
"6월",5060,-260,-4.9,5124,64,1.3,40890,35766,698.0,10451,,
"7월",5053,-181,-3.5,5238,185,3.7,41377,36139,689.9,9981,,
"8월",5933,-342,-5.5,6395,462,7.8,41534,35139,549.5,12676,,
"9월",6082,-45,-0.7,6544,462,7.6,41784,35240,538.5,13417,,
"10월",4903,-250,-4.9,5572,669,13.6,41823,36251,650.6,10088,,
"11월",5827,-192,-3.2,6353,526,9.0,44149,37796,594.9,12468,,
"12월",5274,-287,-5.2,5569,295,5.6,40677,35108,630.4,9746,,
