name,섭취방식,에너지,단백질,탄수화물,칼슘,인,철,나트륨,칼륨,비타민A,티아민,리보플라빈,나이아신,비타민C,엽산
6년근홍삼정,액상,10,,2,,,,,,,,,,,
관절연골엔 난각막NEM,캡슐,,,,,,,,,,,,,,
관절연골엔 난각막NEM 프리미엄,캡슐,,,,,,,,,700,1.2,,,,
눈건강 간건강 면역건강 활력,캡슐,5,,,,,,,,,6,7,,,
눈건강엔 루테인지아잔틴,캡슐,,,,,,,,,700,1.2,1.4,,,
락토핏 골드,분말,10,,2,,,,,,,,,,,
락토핏 솔루션 1 둔감한장,캡슐,,,,,,,,,,,,,,
락토핏 솔루션 2 예민한 장,캡슐,,,,,,,5,,,,,,,
락토핏 식물성,분말,10,,2,,,,,,,,,,,
락토핏 인지력케어,분말,10,,1,,,,,,,,,,,
락토핏 코어,분말,10,,2,,,,,,,,,,,
락토핏 코어맥스,분말,10,,2,,,,,,,,,,,
락토핏 플러스 듀얼바이오틱스,분말,25,,5,,,,5,,,,,,,
본밸런스,분말,5,,1,350,,,10,,,,,,,
브레인 포스파티딜세린 징코,캡슐,12,1,,,,,,,,,,,,
아이클리어 루테인,캡슐,,,,,,,,,700,,,,31.5,
아이클리어 루테인아스타잔틴,캡슐,,,,,,,,,700,,,,30,
아이클리어 루테인지아잔틴,캡슐,,,,,,,,,700,1.2,1.4,,,
오메가3골드업,캡슐,,,,,,,,,,,,,,
종근당건강 칼슘마그네슘,정,,,,230,,,,,,,,,,
종근당건강 홍삼진원보,액상,,,,,,,,,,,,,,
천관보 정,정,10,,2,,,,,,,,,,,
천관보 프리미엄,액상,82,,20,,,,15,,,,1.4,,,
프로메가  알티지 오메가3 듀얼,캡슐,10,,,,,,,,,,,,,
프로메가 뉴티지 오메가3,캡슐,10,,,,,,,,,,,,,
프로메가 뉴티지 오메가3 듀얼,캡슐,10,,,,,,,,,,,,,
프로메가 알티지 오메가3 DS,캡슐,10,,,,,,,,,,,,,
프로메가 알티지 오메가3 듀얼플러스,캡슐,10,,,,,,,,700,,,,,
프로메가 알티지 오메가3 트리플,캡슐,15,,,,,,,,,,,,,
프로메가 알티지오메가3 듀얼 비타민D,캡슐,10,,,,,,,,,,,,,
프로메가 오메가3,캡슐,10,,,,,,,,700,,,,,
프로메가 오메가3 트리플,캡슐,10,,,,,,,,,,,,,
프로폴리스 플러스,캡슐,,,,,,,,,,,,,,
헬씨칸,캡슐,5,,,,,,,,,1.2,1.4,,,
헬씨칸로얄,캡슐,,,,,,,,,,12,14,,,
홍삼더부스터샷,기타,35,,7,,,,,,,2.4,2.8,,100,
홍삼스틱,액상,7,,2,,,,,,,,,,,
홍삼이뮨스틱,액상,25,,6,,,,,,,,,,,
홍삼정마일드,액상,26,,6,,,,,,,,,,,
홍삼정스틱,액상,25,,6,,,,,,,,,,,
